year,epi_week,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean
2015,53,15.933333333333332,25.073333333333334,0.0,2.263333333333333
2016,1,15.575714285714286,40.79857142857143,0.05,2.2885714285714287
2016,2,14.078571428571427,46.41571428571428,6.53,2.097142857142857
2016,3,12.247142857142858,31.330000000000002,0.0,1.967142857142857
2016,4,14.12142857142857,46.512857142857136,12.92,2.2842857142857143
2016,5,14.468571428571428,36.37571428571429,0.05,2.6014285714285714
2016,6,14.64,42.951428571428565,0.8700000000000001,2.4528571428571433
2016,7,16.514285714285712,42.37571428571429,6.88,2.6714285714285713
2016,8,20.135714285714283,26.50857142857143,0.0,2.257142857142857
2016,9,22.535714285714285,39.09142857142857,3.74,2.1457142857142855
2016,10,21.830000000000002,51.72714285714286,20.85,2.0742857142857143
2016,11,21.93857142857143,49.87285714285714,7.28,2.527142857142857
2016,12,22.472857142857144,38.66142857142857,2.29,3.927142857142857
2016,13,27.177142857142858,34.53857142857142,0.030000000000000002,2.6585714285714284
2016,14,26.49857142857143,34.56285714285714,0.82,3.2271428571428573
2016,15,30.32857142857143,27.359999999999996,0.48000000000000004,3.5985714285714288
2016,16,30.237142857142857,22.90285714285714,1.94,3.9714285714285715
2016,17,31.958571428571428,15.118571428571428,0.0,3.2128571428571426
2016,18,33.934285714285714,22.787142857142857,0.55,2.782857142857143
2016,19,36.17285714285715,20.888571428571428,4.41,3.011428571428571
2016,20,38.544285714285714,13.724285714285713,0.0,3.2328571428571427
2016,21,35.90714285714286,28.327142857142857,18.56,2.8771428571428572
2016,22,37.0,28.59714285714286,3.31,2.8771428571428572
2016,23,38.839999999999996,18.615714285714287,2.58,2.641428571428572
2016,24,37.23857142857143,34.9,35.05,2.9214285714285713
2016,25,36.089999999999996,41.521428571428565,36.779999999999994,2.004285714285714
2016,26,35.89142857142857,46.34142857142857,34.330000000000005,2.1671428571428573
2016,27,36.23857142857143,45.47571428571428,24.05,1.4714285714285715
2016,28,34.06285714285714,56.18285714285714,70.24000000000001,2.3242857142857143
2016,29,34.332857142857144,50.11571428571428,25.14,1.9914285714285713
2016,30,32.137142857142855,62.06142857142857,48.68,2.3685714285714288
2016,31,31.834285714285716,63.201428571428565,35.54,2.2885714285714287
2016,32,31.664285714285715,65.92,40.61,1.5371428571428571
2016,33,32.93,54.44285714285714,13.760000000000002,1.5042857142857144
2016,34,30.777142857142856,67.14142857142858,72.59,1.5885714285714287
2016,35,30.05857142857143,62.44571428571429,10.2,1.7285714285714284
2016,36,31.06714285714286,52.00571428571429,2.37,2.494285714285714
2016,37,31.21,48.544285714285714,5.0200000000000005,1.5785714285714287
2016,38,30.774285714285718,48.9,10.92,1.6514285714285715
2016,39,30.467142857142854,45.228571428571435,0.060000000000000005,1.5714285714285714
2016,40,30.09,41.47571428571428,0.33,1.6257142857142857
2016,41,27.78,25.398571428571426,0.0,1.7042857142857142
2016,42,26.937142857142856,25.587142857142858,0.0,1.3628571428571428
2016,43,24.354285714285716,22.77857142857143,0.0,1.9014285714285715
2016,44,22.28,29.032857142857143,0.0,1.3985714285714284
2016,45,21.261428571428574,22.814285714285713,1.17,2.3657142857142857
2016,46,19.208571428571428,24.844285714285714,0.0,2.5485714285714285
2016,47,20.62142857142857,25.452857142857145,0.0,2.9457142857142857
2016,48,19.684285714285714,19.509999999999998,0.0,2.157142857142857
2016,49,19.21857142857143,28.41714285714286,0.0,2.005714285714286
2016,50,16.481428571428573,30.164285714285715,0.0,2.15
2016,51,16.625714285714285,22.78857142857143,0.0,2.6814285714285715
2016,52,15.73,23.277142857142856,0.01,2.1814285714285715
2017,1,14.962857142857143,48.74,3.45,1.792857142857143
2017,2,9.778571428571428,34.83714285714286,9.200000000000001,2.7328571428571427
2017,3,11.145714285714288,55.85857142857143,3.5500000000000003,2.427142857142857
2017,4,13.221428571428572,69.49857142857142,38.3,2.43
2017,5,15.328571428571427,55.58142857142857,8.299999999999999,2.575714285714286
2017,6,14.578571428571427,45.402857142857144,0.04,2.1914285714285713
