year,month,month_num,epi_week,region,district,cases,deaths,T2M_mean,RH2M_mean,PRECTOTCORR_sum,WS10M_mean,month_sin,month_cos,week_sin,week_cos,t1_cases,t2_cases,T2M_lag1,PRECTOTCORR_lag1,PRECTOTCORR_lag2,water_proxy,district_encoded,isOutbreak
2016,January,1,3,Punjab,attock,2,0,11.961428571428572,38.862857142857145,0.0,1.6328571428571428,0.4999999999999999,0.8660254037844387,0.3546048870425356,0.9350162426854148,2.0,1.0,12.811428571428571,1.98,8.81,0.0,0.0,0
2016,January,1,4,Punjab,attock,1,0,12.045714285714284,61.17428571428572,24.42,2.065714285714286,0.4999999999999999,0.8660254037844387,0.4647231720437685,0.8854560256532099,2.0,2.0,11.961428571428572,0.0,1.98,24.42,0.0,0
2016,February,2,5,Punjab,attock,1,0,14.505714285714287,40.451428571428565,0.0,1.5171428571428571,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1.0,2.0,12.045714285714284,24.42,0.0,24.42,0.0,0
2016,February,2,6,Punjab,attock,2,0,12.384285714285712,55.62285714285714,38.42,2.0185714285714287,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1.0,1.0,14.505714285714287,0.0,24.42,38.42,0.0,0
2016,February,2,7,Punjab,attock,1,0,15.567142857142857,46.42285714285714,21.59,1.6985714285714286,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,2.0,1.0,12.384285714285712,38.42,0.0,60.010000000000005,0.0,0
2016,February,2,8,Punjab,attock,1,0,19.36285714285714,36.60714285714285,0.0,1.7771428571428571,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1.0,2.0,15.567142857142857,21.59,38.42,21.59,0.0,0
2016,March,3,9,Punjab,attock,1,0,20.02142857142857,54.03857142857142,4.3500000000000005,1.7342857142857144,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,1.0,19.36285714285714,0.0,21.59,4.3500000000000005,0.0,0
2016,March,3,10,Punjab,attock,1,0,18.37,63.46428571428572,67.15,1.7542857142857142,1.0,6.123233995736766e-17,0.9350162426854148,0.3546048870425355,1.0,1.0,20.02142857142857,4.3500000000000005,0.0,71.5,0.0,0
2016,March,3,11,Punjab,attock,1,0,16.517142857142858,69.12857142857142,62.99,1.9228571428571428,1.0,6.123233995736766e-17,0.970941817426052,0.239315664287558,1.0,1.0,18.37,67.15,4.3500000000000005,130.14,0.0,0
2016,March,3,12,Punjab,attock,0,0,19.612857142857145,50.08857142857143,12.64,2.1557142857142857,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1.0,1.0,16.517142857142858,62.99,67.15,75.63,0.0,0
2016,April,4,13,Punjab,attock,1,0,22.70285714285714,59.452857142857134,15.77,2.177142857142857,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766366e-16,0.0,1.0,19.612857142857145,12.64,62.99,28.41,0.0,0
2016,April,4,14,Punjab,attock,1,0,21.89428571428571,54.80142857142857,10.93,1.8228571428571427,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.1205366802553228,1.0,0.0,22.70285714285714,15.77,12.64,26.7,0.0,0
2016,April,4,15,Punjab,attock,1,0,25.147142857142857,51.14142857142857,12.47,2.1414285714285715,0.8660254037844387,-0.4999999999999998,0.970941817426052,-0.2393156642875575,1.0,1.0,21.89428571428571,10.93,15.77,23.4,0.0,0
2016,April,4,16,Punjab,attock,0,0,24.872857142857143,44.06142857142857,5.14,2.127142857142857,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.3546048870425354,1.0,1.0,25.147142857142857,12.47,10.93,17.61,0.0,0
2016,May,5,18,Punjab,attock,1,0,29.005714285714284,44.46428571428572,0.5800000000000001,1.9257142857142853,0.4999999999999999,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,0.0,1.0,24.872857142857143,5.14,12.47,5.72,0.0,0
2016,May,5,19,Punjab,attock,1,0,31.45,40.31,5.98,2.234285714285714,0.4999999999999999,-0.8660254037844387,0.7485107481711013,-0.663122658240795,1.0,0.0,29.005714285714284,0.5800000000000001,5.14,6.5600000000000005,0.0,0
2016,May,5,20,Punjab,attock,1,0,34.142857142857146,26.18142857142857,1.36,2.0885714285714285,0.4999999999999999,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,1.0,1.0,31.45,5.98,0.5800000000000001,7.340000000000001,0.0,0
2016,May,5,21,Punjab,attock,0,0,31.775714285714287,37.50714285714286,62.48,2.027142857142857,0.4999999999999999,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,1.0,1.0,34.142857142857146,1.36,5.98,63.84,0.0,0
2016,June,6,22,Punjab,attock,1,0,33.362857142857145,36.137142857142855,3.7,1.967142857142857,1.2246467991473532e-16,-1.0,0.464723172043769,-0.8854560256532096,0.0,1.0,31.775714285714287,62.48,1.36,66.17999999999999,0.0,0
2016,June,6,23,Punjab,attock,2,0,34.995714285714286,29.332857142857144,6.72,2.1342857142857143,1.2246467991473532e-16,-1.0,0.3546048870425358,-0.9350162426854148,1.0,0.0,33.362857142857145,3.7,62.48,10.42,0.0,0
2016,June,6,24,Punjab,attock,1,0,35.38,35.53428571428572,39.49999999999999,1.817142857142857,1.2246467991473532e-16,-1.0,0.2393156642875576,-0.970941817426052,2.0,1.0,34.995714285714286,6.72,3.7,46.21999999999999,0.0,0
2016,June,6,25,Punjab,attock,1,0,33.940000000000005,46.57857142857143,26.52,2.22,1.2246467991473532e-16,-1.0,0.120536680255323,-0.992708874098054,1.0,2.0,35.38,39.49999999999999,6.72,66.02,0.0,0
2016,July,7,26,Punjab,attock,3,0,34.37714285714286,50.03142857142858,53.35,2.494285714285714,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,1.0,1.0,33.940000000000005,26.52,39.49999999999999,79.87,0.0,0
2016,July,7,27,Punjab,attock,5,0,33.47428571428571,52.58,27.93,1.98,-0.4999999999999997,-0.8660254037844388,-0.1205366802553228,-0.992708874098054,3.0,1.0,34.37714285714286,53.35,26.52,81.28,0.0,0
2016,July,7,28,Punjab,attock,6,0,32.55714285714286,60.49142857142857,88.24000000000001,2.3514285714285714,-0.4999999999999997,-0.8660254037844388,-0.2393156642875574,-0.970941817426052,5.0,3.0,33.47428571428571,27.93,53.35,116.17,0.0,0
2016,July,7,29,Punjab,attock,2,0,31.67142857142857,61.385714285714286,38.04,2.404285714285714,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,6.0,5.0,32.55714285714286,88.24000000000001,27.93,126.28,0.0,0
2016,August,8,31,Punjab,attock,4,0,30.852857142857143,68.41857142857143,26.29,2.8042857142857147,-0.8660254037844385,-0.5000000000000004,-0.5680647467311556,-0.8229838658936566,2.0,6.0,31.67142857142857,38.04,88.24000000000001,64.33,0.0,0
2016,August,8,32,Punjab,attock,8,0,29.641428571428573,73.25142857142858,60.45,2.56,-0.8660254037844385,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,4.0,2.0,30.852857142857143,26.29,38.04,86.74000000000001,0.0,1
2016,August,8,33,Punjab,attock,8,0,31.062857142857144,57.50142857142857,3.35,2.124285714285714,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,8.0,4.0,29.641428571428573,60.45,26.29,63.8,0.0,1
2016,August,8,34,Punjab,attock,4,0,30.367142857142856,62.15857142857143,31.16,1.827142857142857,-0.8660254037844385,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,8.0,8.0,31.062857142857144,3.35,60.45,34.510000000000005,0.0,0
2016,September,9,35,Punjab,attock,3,0,29.26714285714285,57.30142857142857,14.44,1.7457142857142856,-1.0,-1.8369701987210287e-16,-0.8854560256532096,-0.4647231720437691,4.0,8.0,30.367142857142856,31.16,3.35,45.6,0.0,0
2016,September,9,36,Punjab,attock,7,0,30.354285714285712,54.52428571428572,17.57,1.762857142857143,-1.0,-1.8369701987210287e-16,-0.9350162426854148,-0.3546048870425359,3.0,4.0,29.26714285714285,14.44,31.16,32.010000000000005,0.0,1
2016,September,9,37,Punjab,attock,7,0,29.18142857142857,57.48428571428571,28.11,1.8228571428571427,-1.0,-1.8369701987210287e-16,-0.970941817426052,-0.2393156642875577,7.0,3.0,30.354285714285712,17.57,14.44,45.68000000000001,0.0,1
2016,September,9,38,Punjab,attock,3,0,28.72,57.470000000000006,7.62,1.912857142857143,-1.0,-1.8369701987210287e-16,-0.992708874098054,-0.1205366802553235,7.0,7.0,29.18142857142857,28.11,17.57,35.730000000000004,0.0,0
2016,October,10,40,Punjab,attock,2,0,28.095714285714283,49.73,23.64,1.5485714285714285,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,3.0,7.0,28.72,7.62,28.11,31.260000000000005,0.0,0
2016,October,10,41,Punjab,attock,5,0,25.49142857142857,36.71428571428572,0.0,1.707142857142857,-0.8660254037844386,0.5000000000000001,-0.970941817426052,0.2393156642875573,2.0,3.0,28.095714285714283,23.64,7.62,23.640000000000004,0.0,0
2016,October,10,42,Punjab,attock,5,1,23.86285714285714,37.28857142857142,1.23,1.921428571428572,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.3546048870425355,5.0,2.0,25.49142857142857,0.0,23.64,1.2300000000000035,0.0,0
2016,October,10,43,Punjab,attock,2,0,22.860000000000003,32.63285714285714,0.0,1.6314285714285717,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,5.0,5.0,23.86285714285714,1.23,0.0,1.2300000000000035,0.0,0
2016,November,11,44,Punjab,attock,2,0,21.56142857142857,36.68857142857143,0.51,1.577142857142857,-0.5000000000000004,0.8660254037844384,-0.822983865893657,0.5680647467311548,2.0,5.0,22.860000000000003,0.0,1.23,0.5100000000000036,0.0,0
2016,November,11,45,Punjab,attock,3,0,20.697142857142858,26.06428571428572,0.02,1.717142857142857,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407952,2.0,2.0,21.56142857142857,0.51,0.0,0.5300000000000036,0.0,0
2016,November,11,46,Punjab,attock,2,0,19.47428571428572,23.504285714285714,0.0,1.6785714285714286,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007,3.0,2.0,20.697142857142858,0.02,0.51,0.0200000000000035,0.0,0
2016,November,11,47,Punjab,attock,2,0,18.967142857142854,30.094285714285714,0.01,2.021428571428572,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,2.0,3.0,19.47428571428572,0.0,0.02,0.0100000000000035,0.0,0
2016,December,12,48,Punjab,attock,1,0,19.344285714285714,20.390000000000004,0.0,1.741428571428571,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,2.0,2.0,18.967142857142854,0.01,0.0,0.0100000000000035,0.0,0
2016,December,12,49,Punjab,attock,2,0,18.73,26.59142857142857,3.87,1.782857142857143,-2.4492935982947064e-16,1.0,-0.3546048870425359,0.9350162426854148,1.0,2.0,19.344285714285714,0.0,0.01,3.870000000000004,0.0,0
2016,December,12,50,Punjab,attock,2,0,15.628571428571428,32.69857142857143,2.47,1.5285714285714287,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,2.0,1.0,18.73,3.87,0.0,6.340000000000003,0.0,0
2016,December,12,51,Punjab,attock,1,0,16.63142857142857,23.65571428571429,0.0,1.7100000000000002,-2.4492935982947064e-16,1.0,-0.1205366802553236,0.992708874098054,2.0,2.0,15.628571428571428,2.47,3.87,2.470000000000004,0.0,0
2017,January,1,1,Punjab,attock,2,0,11.694285714285714,58.98,54.21,1.9142857142857144,0.4999999999999999,0.8660254037844387,0.120536680255323,0.992708874098054,1.0,2.0,16.63142857142857,0.0,2.47,54.21000000000001,0.0,0
2017,January,1,2,Punjab,attock,2,0,7.932857142857143,44.68571428571429,5.13,1.9742857142857144,0.4999999999999999,0.8660254037844387,0.2393156642875577,0.970941817426052,2.0,1.0,11.694285714285714,54.21,0.0,59.34,0.0,0
