district_encoded,epi_week,mean_predicted,mean_temp,mean_humidity,mean_rainfall,mean_water,dominant_severity,cluster,risk_zone
0.0,1,2.238846636771589,10.52357142857143,54.60285714285714,22.5225,22.552500000000006,0,1,Low Risk
0.0,2,1.9005256992377666,9.814285714285713,49.63714285714286,11.767499999999998,34.290000000000006,0,1,Low Risk
0.0,3,1.7394485512591848,10.969714285714286,48.44457142857143,13.762,23.176000000000002,0,1,Low Risk
0.0,4,1.513476264798816,10.463142857142858,61.75542857142857,25.08,38.842,0,1,Low Risk
0.0,5,1.3922653865244343,12.097142857142858,53.98057142857143,13.325999999999999,38.406,0,1,Low Risk
0.0,6,1.6744159948388586,12.143714285714285,50.12342857142857,14.536000000000001,27.862000000000002,0,1,Low Risk
0.0,7,1.6220264339320427,14.507142857142856,56.05800000000001,17.758000000000003,32.294,0,1,Low Risk
0.0,8,1.5073681444997884,15.822,49.74657142857143,16.968,34.726,0,1,Low Risk
0.0,9,1.1283091862482928,16.494857142857143,60.28828571428571,98.748,115.71600000000004,0,2,High Risk
0.0,10,1.2405595444395785,16.3,61.14114285714286,47.540000000000006,146.288,0,2,High Risk
0.0,11,1.2280247345821897,16.566285714285716,60.29714285714285,46.858000000000004,94.398,0,2,High Risk
0.0,12,0.8829582315444983,19.845714285714287,56.36857142857143,11.568000000000001,58.426,0,1,Low Risk
0.0,13,0.8775499315080586,22.912,52.36285714285714,37.672,49.239999999999995,0,2,High Risk
0.0,14,0.9892417982050308,22.502285714285712,54.32714285714286,30.908000000000005,68.58,0,2,High Risk
0.0,15,0.9389034992481063,24.424,51.25228571428572,20.692,51.6,0,1,Low Risk
0.0,16,0.8325632810182505,24.3,54.83457142857143,46.784000000000006,67.476,0,2,High Risk
0.0,18,0.9962024161888662,27.34885714285714,47.639428571428574,11.914,58.698,0,1,Low Risk
0.0,19,0.9202716576323546,29.122571428571426,45.60342857142857,14.828,26.741999999999997,0,0,Moderate Risk
0.0,20,1.113714244222556,29.064285714285717,46.85971428571428,81.418,96.24600000000001,0,2,High Risk
0.0,21,0.8633575501381718,30.731714285714286,37.31914285714286,21.198,102.61600000000001,0,2,High Risk
0.0,22,1.225747976452081,32.96628571428572,33.778285714285715,5.684,26.881999999999998,0,0,Moderate Risk
0.0,23,1.5366146730226586,32.74171428571428,39.536,15.540000000000001,21.224,0,0,Moderate Risk
0.0,24,1.5836471617738388,33.586285714285715,37.98685714285715,75.588,91.128,0,2,High Risk
0.0,25,1.2495191516060369,32.830285714285715,45.25314285714286,73.13,148.71800000000002,0,2,High Risk
0.0,26,2.7882284520349647,33.187714285714286,49.23685714285715,30.296000000000003,103.426,1,2,High Risk
0.0,27,6.361042317422362,33.692,47.643142857142855,19.478,49.774,2,0,Moderate Risk
0.0,28,7.171157797493246,32.55771428571428,59.084,68.804,88.28200000000001,2,2,High Risk
0.0,29,3.8658694038771357,31.450285714285712,64.0097142857143,47.733999999999995,116.53800000000001,1,2,High Risk
0.0,31,12.985833381276175,31.058285714285716,67.87457142857143,27.860000000000003,75.59400000000001,1,2,High Risk
0.0,32,24.858053494171816,30.77914285714286,70.02828571428572,63.71200000000001,91.572,3,2,High Risk
0.0,33,22.71777877163705,30.54057142857143,67.71314285714286,39.592,103.304,3,2,High Risk
0.0,34,6.108972792385371,29.96942857142857,68.08171428571428,42.996,82.58800000000001,1,2,High Risk
0.0,35,5.57509352499544,29.429999999999996,67.20914285714285,41.176,84.172,1,2,High Risk
0.0,36,19.10209102397689,29.482857142857142,65.28457142857144,44.8,85.976,2,2,High Risk
0.0,37,19.792775050386574,29.068285714285715,60.45771428571429,14.330000000000002,59.129999999999995,2,3,Hotspot
0.0,38,5.506458308782387,28.577999999999996,54.894285714285715,5.1240000000000006,19.454000000000004,1,1,Low Risk
0.0,40,4.12378534747509,26.33914285714286,51.42999999999999,10.084,15.208000000000004,1,1,Low Risk
0.0,41,6.321254154114632,25.166000000000004,42.74742857142857,4.42,14.504000000000001,1,1,Low Risk
0.0,42,8.566135806813225,24.11742857142857,41.168285714285716,6.116,10.536000000000005,1,1,Low Risk
0.0,43,4.050119551947233,22.741142857142858,37.208,7.863999999999999,13.98,1,1,Low Risk
0.0,44,3.67921868913083,21.243428571428574,42.96142857142858,6.418000000000001,14.282000000000005,0,1,Low Risk
0.0,45,3.680457971685396,19.568857142857144,38.32828571428572,9.024000000000001,15.442000000000004,1,1,Low Risk
0.0,46,3.2884915521142246,17.680571428571433,48.34428571428571,21.716,30.740000000000002,1,1,Low Risk
0.0,47,3.0712231187394923,16.378571428571426,44.03542857142857,5.867999999999999,27.584000000000003,0,1,Low Risk
0.0,48,2.6853199755035404,16.018571428571427,43.98828571428571,8.516000000000002,14.384000000000004,0,1,Low Risk
0.0,49,2.3581008757376285,15.905142857142858,36.501714285714286,2.17,10.686000000000003,0,1,Low Risk
0.0,50,2.548775699896132,12.474,55.73685714285714,41.762,43.932,0,2,High Risk
0.0,51,2.186337516823003,13.305142857142858,39.42028571428572,2.824,44.586,0,1,Low Risk
1.0,1,2.569913143966634,13.005357142857143,39.809999999999995,0.05,0.04999999999999107,0,1,Low Risk
1.0,2,2.068007111613288,13.026071428571429,39.80464285714285,4.275,4.32499999999999,0,1,Low Risk
1.0,3,2.072874275863393,12.930285714285713,37.96771428571428,4.336,7.755999999999993,0,1,Low Risk
1.0,4,1.8644538280025476,13.520571428571426,48.21028571428572,3.182,7.517999999999992,0,1,Low Risk
1.0,5,1.7525414125103214,15.187714285714284,40.05285714285714,2.222,5.403999999999991,0,1,Low Risk
1.0,6,1.9044661385799802,14.948857142857145,35.43628571428572,1.6960000000000002,3.9179999999999913,0,1,Low Risk
1.0,7,1.7892135338236013,17.825714285714287,38.29485714285714,1.262,2.9579999999999957,0,1,Low Risk
1.0,8,1.6325695101478133,19.37257142857143,32.60914285714286,1.208,2.469999999999992,0,1,Low Risk
1.0,9,1.33768089339958,20.704285714285714,36.79742857142857,2.4520000000000004,3.659999999999992,0,1,Low Risk
1.0,10,1.3789400877165796,20.798857142857145,41.798,14.047999999999998,16.499999999999993,0,1,Low Risk
1.0,11,1.5142678349973386,21.064285714285713,40.050285714285714,19.016,33.06399999999999,0,1,Low Risk
1.0,12,1.1680518596175178,24.256571428571426,37.208,1.42,20.435999999999996,0,1,Low Risk
1.0,13,0.9777876679713579,27.713714285714286,31.09428571428571,10.336,11.755999999999997,0,0,Moderate Risk
1.0,14,1.0568857881638813,28.109428571428573,31.46485714285715,1.9700000000000002,12.305999999999994,0,0,Moderate Risk
1.0,15,1.1772611234401293,29.950285714285712,31.189999999999998,3.808,5.777999999999995,0,0,Moderate Risk
1.0,16,1.0011734809750945,29.75657142857143,32.925428571428576,4.946,8.753999999999994,0,0,Moderate Risk
1.0,18,1.0729246354854574,33.56057142857143,24.12057142857143,0.504,5.449999999999994,0,0,Moderate Risk
1.0,19,1.1654026746502897,35.04457142857143,23.409142857142854,1.126,1.6299999999999948,0,0,Moderate Risk
1.0,20,1.3746985195018508,34.70028571428571,27.875142857142855,8.692,9.817999999999994,0,0,Moderate Risk
1.0,21,1.0869138074831801,35.824571428571424,22.31657142857143,3.0140000000000002,11.705999999999996,0,0,Moderate Risk
1.0,22,1.5210486728890793,37.715714285714284,19.75,1.754,4.767999999999996,0,0,Moderate Risk
1.0,23,2.3675957979864117,37.12685714285714,29.756,17.776,19.53,0,0,Moderate Risk
1.0,24,1.9505302471670796,37.69257142857143,31.377142857142854,4.656000000000001,22.431999999999995,0,0,Moderate Risk
1.0,25,1.6337826993126705,37.05771428571428,35.99171428571428,10.586,15.241999999999996,0,0,Moderate Risk
1.0,26,3.200739927748464,36.811142857142855,40.231142857142856,12.31,22.895999999999994,1,0,Moderate Risk
1.0,27,7.892640783237939,37.96742857142857,36.48428571428572,6.636,18.945999999999998,2,0,Moderate Risk
1.0,28,8.59995875715533,37.56314285714286,37.58571428571428,6.640000000000001,13.275999999999993,2,0,Moderate Risk
1.0,29,3.9836519722098154,36.319428571428574,43.07457142857143,18.086,24.725999999999992,1,0,Moderate Risk
1.0,31,11.942328349957869,34.772,48.986285714285714,4.82,22.905999999999995,1,0,Moderate Risk
1.0,32,29.65473665768291,35.07114285714286,48.504571428571424,6.458,11.277999999999993,3,3,Hotspot
1.0,33,28.25071392012443,35.272571428571425,44.11742857142857,6.31,12.767999999999992,3,3,Hotspot
1.0,34,12.786209194215179,35.088,44.57257142857143,8.940000000000001,15.249999999999995,1,0,Moderate Risk
1.0,35,5.803863333541689,33.89657142857143,47.89142857142857,9.006,17.945999999999994,1,0,Moderate Risk
1.0,36,21.325690254405075,33.306,47.605714285714285,24.169999999999998,33.175999999999995,2,3,Hotspot
1.0,37,22.441699049113655,33.919714285714285,39.586571428571425,0.21800000000000003,24.38799999999999,3,3,Hotspot
1.0,38,5.626839888781839,33.03628571428571,35.882,0.374,0.5919999999999919,1,0,Moderate Risk
1.0,40,4.555634012582396,30.39285714285714,37.06885714285714,3.9,4.273999999999993,1,0,Moderate Risk
1.0,41,7.345178429197527,29.036,27.03257142857143,0.042,3.941999999999993,2,0,Moderate Risk
1.0,42,10.985700202419675,27.738285714285713,23.719714285714282,0.074,0.11599999999999286,2,0,Moderate Risk
1.0,43,4.220417294315569,26.084000000000003,21.58457142857143,0.0,0.07399999999999643,1,0,Moderate Risk
1.0,44,3.68665971599662,24.701428571428572,27.051428571428573,0.148,0.14799999999999644,0,0,Moderate Risk
1.0,45,3.92621294222421,22.501428571428573,24.687428571428573,0.30000000000000004,0.4479999999999958,1,0,Moderate Risk
1.0,46,4.480918145820873,20.417142857142856,35.01257142857143,3.9239999999999995,4.223999999999991,1,1,Low Risk
1.0,47,3.4977981659287622,19.415714285714284,33.17885714285714,0.09,4.013999999999991,1,1,Low Risk
1.0,48,3.1840123528430553,18.624857142857145,37.04342857142857,90.836,90.926,0,2,High Risk
1.0,49,2.7878604848051425,17.890857142857143,31.204571428571434,0.0,90.836,1,1,Low Risk
1.0,50,2.7538579438501865,15.083142857142855,48.00714285714285,4.696,4.695999999999993,0,1,Low Risk
1.0,51,2.510201322006142,15.080857142857145,34.71771428571428,0.0,4.695999999999993,0,1,Low Risk
2.0,1,3.1144473614227888,13.024642857142856,38.93107142857143,0.135,0.135,0,1,Low Risk
2.0,2,2.279389109262519,13.200357142857143,40.91142857142857,2.82,2.955,0,1,Low Risk
2.0,3,2.5465486898702716,13.131714285714287,37.884,5.428,7.684,1,1,Low Risk
2.0,4,2.3230894882020783,14.104,45.176,2.784,8.212,0,1,Low Risk
2.0,5,2.1322033324884515,15.229714285714286,39.94028571428571,1.486,4.2700000000000005,0,1,Low Risk
2.0,6,2.0608538881615353,14.933714285714284,34.33257142857143,2.7060000000000004,4.191999999999999,0,1,Low Risk
2.0,7,2.2436416943695736,18.068571428571428,36.75314285714286,0.7739999999999999,3.4799999999999995,0,1,Low Risk
2.0,8,2.0215053104796676,19.562857142857144,31.299428571428574,1.734,2.508,0,1,Low Risk
2.0,9,1.673689896154491,21.131142857142855,36.212,3.008,4.742,0,1,Low Risk
2.0,10,1.4357470440712787,20.99514285714286,42.41142857142857,17.694,20.701999999999998,0,1,Low Risk
2.0,11,1.5223100226422672,21.419714285714285,41.21028571428572,22.076,39.769999999999996,0,1,Low Risk
2.0,12,1.4177032912916274,24.52885714285714,38.242571428571424,1.666,23.742,0,1,Low Risk
2.0,13,1.091895867092361,28.119428571428568,30.99228571428572,10.376000000000001,12.042,0,0,Moderate Risk
2.0,14,1.0631894062154517,28.61114285714286,30.88371428571429,1.8379999999999999,12.214000000000002,0,0,Moderate Risk
2.0,15,1.269473382421427,30.206,31.51,3.776,5.614,0,0,Moderate Risk
2.0,16,1.11228817297436,30.058857142857146,32.409142857142854,2.3120000000000003,6.087999999999999,0,0,Moderate Risk
2.0,18,1.1002180740048828,33.80542857142857,24.284285714285716,0.44000000000000006,2.752,0,0,Moderate Risk
2.0,19,1.2596960844115848,35.20771428571428,24.135714285714286,2.218,2.658,0,0,Moderate Risk
2.0,20,1.5258399191005487,34.848285714285716,28.20542857142857,7.0840000000000005,9.302000000000001,0,0,Moderate Risk
2.0,21,1.3013393144210201,36.14028571428572,21.677999999999997,1.384,8.468,0,0,Moderate Risk
2.0,22,1.6700374860216787,37.98314285714285,19.25057142857143,1.4179999999999997,2.8019999999999996,0,0,Moderate Risk
2.0,23,1.9691303656332064,37.48914285714286,29.660285714285713,12.668000000000001,14.085999999999999,0,0,Moderate Risk
